Nhóm câu hỏi (Intent),Câu hỏi đại diện,Các biến thể câu hỏi trong nhóm,Câu trả lời,File đính kèm
Nhu cầu tư vấn,Chào bạn,"- Hello bạn
- Ad ơi
- Cho em hỏi
- ???
- dạ cho em hỏi
- ad ơi
- dạ ad ơi
- Dạ cho em hỏi
- Em cần tư vấn ạ
- Tư vấn giúp mình với ạ
- e cần tư vấn ạ
- Tư vấn giúp mình nhé
- Cho e xin tư vấn ạ
- Mình cần tư vấn
- Cho em hỏi tư vấn lớp ạ
- Em cần tư vấn
- Em muốn tư vấn về khoá học ạ
- Hi chị em muốn tư vấn để chọn khoá phù hợp
- Mình muốn tư vấn các khoá học bên SpeakwithHang ạ?","Hé luu (...). Cám ơn bạn đã quan tâm đến lớp học nhỏ của tụi mình 

Hiện tại thì tụi mình đang có 3 lộ trình ạ: 
- Lớp ngữ pháp cơ bản (phù hợp với những bạn mất gốc TA)
- Lớp chuyên sâu phát âm (phù hợp với các bạn đã có tiếp xúc với TA và muốn cải thiên PA & ngữ điệu) 
- Lớp Phát âm và Giao tiếp  (phù hợp với các bạn đã có nền tiếng Ah cơ bản)

Hông biết là mình đang quan tâm đến lớp học nào để tụi mình tư vấn kỹ hơn cho bạn nhaa!",
Thông tin lớp,"Lớp học online hay offline, địa chỉ ở đâu ạ?",,"Đối với các lớp Online thì tụi mình sẽ học trên Zoom nè, còn đối với lớp Offline thì sẽ ở địa chỉ 14/38A Kỳ Đồng phường Nhiêu Lộc (quận 3 cũ) nhan. ",
Thông tin lớp,"Lớp học vào thứ mấy, ca mấy giờ ạ?",,"Hi bạn, tuỳ với khoá học và hình thức thì tụi mình sẽ có những khung thời gian học khác nhau nè. Thông tin chi tiết mình để trong lịch khai giảng nha (Gửi kèm lịch khai giảng)",
Thông tin lớp,Cho em xin học phí khóa này ạ?,"- Học phí ntn ạ
- Học phí như nào ạ
- Học phí
- Học phí sao ạ
- Học phí như thế nào ạ
- Em xin học phí ạ
- học phí như nào ạ
- giá như nào ạ
- Chi phí ntn ạ
- Chi phí như nào ạ","Hi bạn, học phí sẽ tùy theo format lớp, sĩ số và thời lượng khóa học nè. Thông tin chi tiết mình để trong lịch khai giảng nha",Lịch khai giảng
Thông tin lớp,Lớp bao nhiêu học viên?,,"Dạ sĩ số sẽ tùy format lớp nè. Lớp Offline sẽ có sỉ số từ 10-12 học viên, còn lớp Online thì sẽ có lớp size siu mini (4-6 học viên) - size vừa (12-14 học viên) - size thường (18-20 học viên ạ)",Lịch khai giảng
Thông tin lớp,Bên mình sắp có lớp mới/khai giảng khi nào ạ?,,"Hi bạn, mình xin gửi bạn lịch khai giảng sắp tới của tụi mình nhan 🤗. Nếu (...) đang quan tâm đến lớp cụ thể nào thì cứ nhắn tụi mình để gửi thêm thông tin cho bạn tham khảo hé. ",Lịch khai giảng
Thông tin lớp,Em muốn học giao tiếp/speaking thì có lớp nào phù hợp ạ?,"- Lớp giao tiếp ạ
- Mình muốn học giao tiếp
- Giao tiếp ạ
- Mình cần học giao tiếp
- dạ lớp giao tiếp ạ
- Em muốn học giao tiếp ạ
- Mình muốn học lớp giao tiếp
- dạ em muốn đki khóa giao tiếp ạ
- Lộ trình khoá Phát âm và Giao tiếp
- Giao tiếp phát âm ạ
- Lớp giao tiếp và phát âm ạ
- Dạ lớp phát âm giao tiếp ạ
- Dạ phát âm và giao tiếp ạ
- cho em hỏi lớp phát âm ipa và giao tiếp 
- Dạ lớp giao tiếp và phát âm ạ
- dạ cho e hỏi là e ngại giao tiếp k biết mở rộng câu nên cần học về giao tiếp thì nên học khoá nào ạ","Mình nhận thông tin đang quan tâm đến khoá Phát âm và Giao tiếp nè. Tuy nhiên. để tụi mình có thể hiểu rõ về mục tiêu học Tiếng anh cũng như level hiện tại và có thể tư vấn kỹ hơn, Vy giúp mình dành VỎN VẸN 15 phút để làm form này nhaaaa. 

Sau khi điền xong bạn vui lòng nhắn lại EMAIL đã điền form để tụi mình check cho bạn liền nha ạ 🥰

https://forms.gle/2TpDaYTAGaEMXyKN8",Hình lộ trình lớp Phát âm & Giao tiếp cơ bản
Thông tin lớp,Cho em xin lớp Phát âm chuyên sâu,,"Mình nhận thông tin đang quan tâm đến khoá Phát âm chuyên sâu nè. Tuy nhiên. để tụi mình có thể hiểu rõ về mục tiêu học Tiếng anh cũng như level hiện tại và có thể tư vấn kỹ hơn, Vy giúp mình dành VỎN VẸN 15 phút để làm form này nhaaaa. 

Sau khi điền xong bạn vui lòng nhắn lại EMAIL đã điền form để tụi mình check cho bạn liền nha ạ 🥰

https://forms.gle/2TpDaYTAGaEMXyKN8""",Hình lộ trình Phát âm chuyên sâu
Thông tin lớp,Cho em xin thông tin lớp Ngữ pháp cơ bản,"- Lộ trình lớp Ngữ pháp cơ bản
- Lộ trình lớp Ngữ pháp cơ bản 👉🏻👈🏻 
- Dạ lớp ngữ pháp cơ bản ạ
- Dạ c cho e đki lớp ngữ pháp
- Lớp ngữ pháp ạ
- Lớp ngữ pháp cơ bản ạ
- Cho e hỏi về lớp Ngữ Pháp ạ","Mình nhận thông tin đang quan tâm đến khoá Ngữ pháp căn bản nè. Tuy nhiên. để tụi mình có thể hiểu rõ về mục tiêu học Tiếng anh cũng như level hiện tại và có thể tư vấn kỹ hơn, Vy giúp mình dành VỎN VẸN 15 phút để làm form này nhaaaa. 

Sau khi điền xong bạn vui lòng nhắn lại EMAIL đã điền form để tụi mình check cho bạn liền nha ạ 🥰

https://forms.gle/2TpDaYTAGaEMXyKN8",Hình lộ trình lớp Ngữ pháp cơ bản
Nhu cầu tư vấn,Em mất gốc/ngữ pháp yếu thì học lớp nào ạ?,"- Dạ e bị mất gốc k biết j lun á thì mình nên hc lớp ngữ pháp trước hay hc lớp phát âm trước
- Em bị mất gốc thì khoá giao tiếp có học được hong ạ? ","Mất gốc cũng tuỳ vào định nghĩa của bạn nữa ó: có bạn không nhớ một số điểm ngữ pháp nên bị lẫn lộn giữa các thì, có bạn hay nhầm cách chia động từ nhưng cũng có bạn không nhớ cả về bảng chữ cái lun. 

Để tụi mình có thể hiểu rõ về mục tiêu học Tiếng anh cũng như level hiện tại và có thể tư vấn kỹ hơn, Vy giúp mình dành VỎN VẸN 15 phút để làm form này nhaaaa. 

Sau khi điền xong bạn vui lòng nhắn lại EMAIL đã điền form để tụi mình check cho bạn liền nha ạ 🥰

https://forms.gle/2TpDaYTAGaEMXyKN8
",
